Throttle,Engine Speed,Vehicle Speed,Gear
99.242882,nan,nan,4.0
99.096367,nan,nan,4.0
99.487083,nan,nan,4.0
99.999901,nan,nan,4.0
99.316147,nan,nan,4.0
99.047523,nan,nan,4.0
78.461464,nan,nan,4.0
72.527405,nan,nan,4.0
70.598221,nan,nan,4.0
68.205055,nan,nan,4.0
64.346695,nan,nan,4.0
59.609222,nan,nan,4.0
55.408978,nan,nan,4.0
51.135479,nan,nan,4.0
49.67028,nan,nan,4.0
28.083,nan,nan,4.0
27.69228,nan,nan,4.0
49.27956,nan,nan,4.0
36.166019,nan,nan,4.0
50.012161,nan,nan,4.0
49.084202,nan,nan,4.0
50.012161,nan,nan,4.0
34.383358,nan,nan,4.0
50.012161,nan,nan,4.0
32.82048,nan,nan,4.0
48.571381,nan,nan,4.0
45.958443,nan,nan,4.0
41.782619,nan,nan,4.0
36.581158,nan,nan,4.0
29.59704,nan,nan,4.0
22.588501,nan,nan,4.0
15.140399,nan,nan,4.0
5.03052,nan,nan,4.0
0.87912,nan,nan,4.0
0.0,nan,nan,4.0
0.0,nan,nan,4.0
0.2442,nan,nan,4.0
0.0,nan,nan,4.0
0.0,nan,nan,4.0
5.29914,nan,nan,4.0
14.70084,nan,nan,4.0
23.369942,nan,nan,4.0
31.452959,nan,nan,4.0
38.04636,nan,nan,4.0
43.809479,nan,nan,4.0
49.548183,nan,nan,4.0
50.451721,nan,nan,4.0
53.846096,nan,nan,4.0
56.898602,nan,nan,4.0
59.316181,nan,nan,4.0
59.316181,nan,nan,4.0
36.141602,nan,nan,4.0
24.68862,nan,nan,4.0
59.316181,nan,nan,4.0
59.242924,nan,nan,4.0
59.975521,nan,nan,4.0
61.147682,nan,nan,4.0
61.733757,nan,nan,4.0
69.938881,nan,nan,4.0
73.284416,nan,nan,4.0
99.340561,nan,nan,4.0
99.584763,nan,nan,4.0
99.413826,nan,nan,4.0
99.584763,nan,nan,4.0
99.242882,nan,nan,4.0
99.560341,nan,nan,4.0
99.828957,nan,nan,4.0
99.706856,nan,nan,4.0
99.071945,nan,nan,4.0
99.487083,nan,nan,4.0
98.901001,nan,nan,4.0
99.364983,nan,nan,4.0
99.584763,nan,nan,4.0
99.535927,nan,nan,4.0
99.609184,nan,nan,4.0
99.999901,nan,nan,4.0
99.609184,nan,nan,4.0
99.316147,nan,nan,4.0
99.535927,nan,nan,4.0
99.21846,nan,nan,4.0
99.267303,nan,nan,4.0
99.291725,nan,nan,4.0
99.194046,nan,nan,4.0
99.633598,nan,nan,4.0
99.291725,nan,nan,4.0
99.096367,nan,nan,4.0
99.120781,nan,nan,4.0
99.584763,nan,nan,4.0
99.609184,nan,nan,4.0
99.560341,nan,nan,4.0
99.316147,nan,nan,4.0
