Throttle,Brake,Engine Speed,Vehicle Speed,Gear
49.084202,0.0,132.09792,4108.501756,4.0
48.962101,0.0,132.098048,4108.855024,4.0
49.084202,0.0,132.098263,4107.287612,4.0
49.133041,0.0,132.098088,4108.809972,4.0
49.084202,0.0,132.098292,4109.50541,4.0
48.962101,0.0,132.098666,4108.903784,4.0
49.035362,0.0,132.098889,4107.303385,4.0
48.962101,0.0,132.098713,4108.190823,4.0
49.084202,0.0,132.098758,4107.274935,4.0
49.133041,0.0,132.098576,4108.820379,4.0
49.10862,0.0,132.098778,4109.516723,4.0
48.962101,0.0,132.099152,4109.232087,4.0
49.157463,0.0,132.099452,4107.327344,4.0
48.986523,0.0,132.099278,4109.788823,4.0
49.084202,0.0,132.099716,4107.668754,4.0
49.10862,0.0,132.099624,4108.859258,4.0
48.986523,0.0,132.099828,4109.224739,4.0
49.010941,0.0,132.100121,4107.659177,4.0
49.10862,0.0,132.100024,4107.917141,4.0
49.084202,0.0,132.099991,4109.193881,4.0
48.986523,0.0,132.100275,4108.929524,4.0
49.035362,0.0,132.100492,4107.657361,4.0
49.133041,0.0,132.100391,4108.242228,4.0
49.05978,0.0,132.100437,4109.533034,4.0
49.133041,0.0,132.100802,4108.635856,4.0
49.10862,0.0,132.100942,4109.558796,4.0
48.937679,0.0,132.101309,4109.282166,4.0
49.10862,0.0,132.101606,4107.060566,4.0
49.084202,0.0,132.101349,4109.190669,4.0
49.05978,0.0,132.101623,4108.959763,4.0
49.035362,0.0,132.101836,4108.639553,4.0
49.157463,0.0,132.101969,4108.314236,4.0
49.133041,0.0,132.10202,4109.888221,4.0
49.035362,0.0,132.102462,4109.636096,4.0
49.133041,0.0,132.102838,4108.368231,4.0
49.157463,0.0,132.102895,4109.592921,4.0
49.206303,0.0,132.103257,4109.961293,4.0
49.084202,0.0,132.103708,4110.617704,4.0
48.986523,0.0,132.104319,4109.067069,4.0
49.05978,0.0,132.104539,4107.753243,4.0
49.05978,0.0,132.104431,4108.653317,4.0
49.181881,0.0,132.104548,4108.689622,4.0
49.010941,0.0,132.104672,4110.278518,4.0
49.10862,0.0,132.105191,4108.125107,4.0
49.181881,0.0,132.105171,4109.317948,4.0
49.206303,0.0,132.105447,4110.318248,4.0
49.084202,0.0,132.10597,4110.680351,4.0
49.10862,0.0,132.106579,4109.120163,4.0
48.986523,0.0,132.106795,4109.390747,4.0
49.05978,0.0,132.107077,4107.821566,4.0
49.010941,0.0,132.106967,4108.71278,4.0
49.035362,0.0,132.107079,4108.114769,4.0
49.05978,0.0,132.107042,4108.408794,4.0
48.937679,0.0,132.107078,4108.737517,4.0
49.181881,0.0,132.107196,4107.167384,4.0
48.864418,0.0,132.106923,4110.270227,4.0
49.010941,0.0,132.107423,4106.273008,4.0
48.986523,0.0,132.106929,4108.014945,4.0
49.157463,0.0,132.106868,4107.767263,4.0
49.010941,0.0,132.106746,4109.973375,4.0
49.05978,0.0,132.107173,4108.160129,4.0
49.133041,0.0,132.107147,4108.729751,4.0
49.133041,0.0,132.107262,4109.704276,4.0
48.986523,0.0,132.107618,4109.746369,4.0
48.986523,0.0,132.107982,4107.853926,4.0
49.10862,0.0,132.107873,4107.783637,4.0
49.10862,0.0,132.107748,4109.362605,4.0
48.937679,0.0,132.108016,4109.426674,4.0
49.010941,0.0,132.108297,4107.216245,4.0
48.962101,0.0,132.108029,4108.07881,4.0
49.133041,0.0,132.107975,4107.477577,4.0
49.181881,100.0,132.107774,4109.668021,4.0
49.3284,100.0,132.084503,4110.390422,4.0
49.084202,100.0,132.061588,4111.797684,4.0
49.27956,100.0,132.039203,4108.155565,4.0
49.084202,100.0,132.016076,4110.063457,4.0
49.27956,100.0,131.993603,4107.072748,4.0
49.035362,100.0,131.970552,4108.999506,4.0
49.157463,100.0,131.948161,4105.375976,4.0
49.035362,100.0,131.925033,4106.331776,4.0
49.206303,0.0,131.902321,4104.262621,4.0
49.133041,0.0,131.902879,4105.89501,4.0
49.084202,0.0,131.903841,4105.015683,4.0
49.035362,0.0,131.904576,4104.373339,4.0
49.084202,0.0,131.905144,4103.732778,4.0
48.986523,0.0,131.905549,4104.354193,4.0
49.10862,0.0,131.906106,4103.120466,4.0
48.962101,0.0,131.906351,4104.667529,4.0
48.962101,0.0,131.90698,4102.833366,4.0
49.035362,0.0,131.907147,4102.775256,4.0
49.05978,0.0,131.907299,4103.726445,4.0
49.035362,0.0,131.907686,4104.085443,4.0
49.035362,0.0,131.908159,4103.791506,4.0
48.986523,0.0,131.908556,4103.79061,4.0
49.084202,0.0,131.908949,4103.166086,4.0
49.181881,0.0,131.909184,4104.416269,4.0
49.084202,0.0,131.909728,4105.738029,4.0
49.10862,0.0,131.910599,4104.531169,4.0
49.05978,0.0,131.911161,4104.823939,4.0
49.084202,0.0,131.911792,4104.214037,4.0
49.10862,0.0,131.912266,4104.521853,4.0
49.084202,0.0,131.912813,4104.860974,4.0
49.05978,0.0,131.913441,4104.569262,4.0
49.035362,0.0,131.913991,4104.25567,4.0
49.133041,0.0,131.914459,4103.93931,4.0
48.962101,0.0,131.914844,4105.204147,4.0
48.962101,0.0,131.915542,4103.043626,4.0
48.864418,0.0,131.915697,4102.975008,4.0
48.986523,0.0,131.915834,4101.708979,4.0
49.084202,0.0,131.915656,4103.239494,4.0
49.133041,0.0,131.915859,4104.568998,4.0
48.962101,0.0,131.91639,4105.260058,4.0
48.937679,0.0,131.91709,4103.080372,4.0
49.10862,0.0,131.917242,4102.694401,4.0
